DIA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
02 ABR 2020,30-39,108.0,0.0
02 ABR 2020,40-49,131.0,0.0
02 ABR 2020,50-59,154.0,1.0
02 ABR 2020,60-69,94.0,1.0
02 ABR 2020,70-79,59.0,4.0
02 ABR 2020,80+,141.0,16.0
03 ABR 2020,0-9,18.0,0.0
03 ABR 2020,10-19,17.0,0.0
03 ABR 2020,20-29,109.0,0.0
03 ABR 2020,30-39,145.0,0.0
03 ABR 2020,40-49,176.0,0.0
03 ABR 2020,50-59,156.0,1.0
03 ABR 2020,60-69,98.0,3.0
03 ABR 2020,70-79,53.0,13.0
03 ABR 2020,80+,80.0,20.0
04 ABR 2020,0-9,17.0,0.0
04 ABR 2020,10-19,16.0,0.0
04 ABR 2020,20-29,77.0,0.0
04 ABR 2020,30-39,94.0,0.0
04 ABR 2020,40-49,101.0,2.0
04 ABR 2020,50-59,122.0,-1.0
04 ABR 2020,60-69,71.0,3.0
04 ABR 2020,70-79,54.0,2.0
04 ABR 2020,80+,86.0,14.0
05 ABR 2020,0-9,12.0,0.0
05 ABR 2020,10-19,24.0,0.0
05 ABR 2020,20-29,97.0,0.0
05 ABR 2020,30-39,104.0,0.0
05 ABR 2020,40-49,130.0,0.0
05 ABR 2020,50-59,125.0,0.0
05 ABR 2020,60-69,95.0,3.0
05 ABR 2020,70-79,60.0,6.0
05 ABR 2020,80+,107.0,20.0
06 ABR 2020,0-9,12.0,0.0
06 ABR 2020,10-19,9.0,0.0
06 ABR 2020,20-29,36.0,0.0
06 ABR 2020,30-39,60.0,0.0
06 ABR 2020,40-49,71.0,0.0
06 ABR 2020,50-59,67.0,0.0
06 ABR 2020,60-69,44.0,2.0
06 ABR 2020,70-79,43.0,5.0
06 ABR 2020,80+,110.0,9.0
07 ABR 2020,0-9,5.0,0.0
07 ABR 2020,10-19,21.0,0.0
07 ABR 2020,20-29,79.0,0.0
07 ABR 2020,30-39,87.0,0.0
07 ABR 2020,40-49,110.0,0.0
07 ABR 2020,50-59,116.0,1.0
07 ABR 2020,60-69,79.0,6.0
07 ABR 2020,70-79,57.0,7.0
07 ABR 2020,80+,158.0,20.0
08 ABR 2020,0-9,13.0,0.0
08 ABR 2020,10-19,17.0,0.0
08 ABR 2020,20-29,69.0,0.0
